home_team,away_team,base_home,base_draw,base_away,adjusted_home,adjusted_draw,adjusted_away,final_home,final_draw,final_away,max_abs_shift_pre_draw,sum_abs_shift_pre_draw,max_abs_shift_final,base_argmax,adjusted_argmax,final_argmax,argmax_changed_pre_draw,argmax_changed_final,squad_top26_diff,tm_market_value_log_diff,tm_caps_diff,tm_recent_injury_days_diff,context_shift
USA,Uruguay,0.606598,0.381848,0.011555,0.594815,0.380275,0.02491,0.594815,0.380275,0.02491,0.013355,0.02671,0.013355,casa,casa,casa,False,False,-1.653846,-0.056353,0.045134,0.259799,0.0
Mexico,Egypt,0.810499,0.186692,0.002809,0.81695,0.173354,0.009696,0.81695,0.173354,0.009696,0.013338,0.026676,0.013338,casa,casa,casa,False,False,5.015385,0.387899,-0.167054,0.193132,0.0
Belgium,Ghana,0.861809,0.134596,0.003595,0.869088,0.1213,0.009613,0.869088,0.1213,0.009613,0.013296,0.026593,0.013296,casa,casa,casa,False,False,5.5,0.157807,0.170345,-0.460963,0.0
Argentina,Ghana,0.934553,0.064174,0.001273,0.939522,0.050891,0.009587,0.939522,0.050891,0.009587,0.013282,0.026565,0.013282,casa,casa,casa,False,False,7.038462,0.532135,-0.159722,-0.533964,0.0
Argentina,Uruguay,0.75709,0.239783,0.003128,0.763772,0.226525,0.009703,0.763772,0.226525,0.009703,0.013258,0.026515,0.013258,casa,casa,casa,False,False,3.769231,0.667378,-0.41381,-0.105274,0.0
Congo DR,Mexico,0.464921,0.468972,0.066107,0.454312,0.466339,0.07935,0.459708,0.46,0.080292,0.013242,0.026484,0.014185,empate,empate,empate,False,False,-2.653846,0.953562,-0.060042,0.258358,0.0
Argentina,USA,0.882302,0.115773,0.001925,0.88786,0.102548,0.009592,0.88786,0.102548,0.009592,0.013225,0.026449,0.013225,casa,casa,casa,False,False,5.423077,0.723731,-0.458944,-0.365073,0.0
Norway,Ecuador,0.632928,0.359299,0.007773,0.644103,0.346117,0.00978,0.644103,0.346117,0.00978,0.013182,0.026365,0.013182,casa,casa,casa,False,False,3.230769,0.546837,0.519832,-0.278361,0.0
Ecuador,Scotland,0.727807,0.266749,0.005445,0.716923,0.264453,0.018624,0.716923,0.264453,0.018624,0.013179,0.026358,0.013179,casa,casa,casa,False,False,-1.923077,-0.235678,-0.342684,-0.21445,0.0
Austria,Korea Republic,0.66553,0.327385,0.007086,0.676011,0.314238,0.009751,0.676011,0.314238,0.009751,0.013146,0.026293,0.013146,casa,casa,casa,False,False,3.038462,0.558603,0.188334,-0.250194,0.0
Jordan,Panama,0.615088,0.378445,0.006467,0.624854,0.365303,0.009844,0.624854,0.365303,0.009844,0.013143,0.026285,0.013143,casa,casa,casa,False,False,3.866667,-1.537117,-0.709726,-2.511919,0.0
Brazil,France,0.594245,0.398355,0.0074,0.582267,0.397206,0.020527,0.582267,0.397206,0.020527,0.013127,0.026255,0.013127,casa,casa,casa,False,False,-1.153846,-0.175244,-0.739166,0.27753,0.0
IR Iran,Egypt,0.728902,0.267079,0.004019,0.717336,0.265543,0.017121,0.717336,0.265543,0.017121,0.013103,0.026205,0.013103,casa,casa,casa,False,False,0.4,-1.491102,-0.112619,0.122602,0.0
Paraguay,Uzbekistan,0.781996,0.212715,0.005289,0.790637,0.199616,0.009747,0.790637,0.199616,0.009747,0.013099,0.026197,0.013099,casa,casa,casa,False,False,4.407692,1.311898,-0.587531,1.228665,0.0
Cape Verde Islands,Panama,0.508554,0.474751,0.016695,0.521633,0.468426,0.009941,0.529901,0.46,0.010099,0.013079,0.026158,0.021347,casa,casa,casa,False,False,1.45641,1.360244,0.010409,0.411242,0.0
Croatia,Congo DR,0.858986,0.138912,0.002102,0.864515,0.125833,0.009652,0.864515,0.125833,0.009652,0.013079,0.026158,0.013079,casa,casa,casa,False,False,5.423077,-0.406685,0.189925,-0.250326,0.0
Brazil,Spain,0.586208,0.406378,0.007414,0.574267,0.405244,0.020489,0.574267,0.405244,0.020489,0.013075,0.026151,0.013075,casa,casa,casa,False,False,-1.038462,-0.349223,-0.620426,0.310039,0.0
Paraguay,Saudi Arabia,0.843622,0.153437,0.002941,0.849969,0.140417,0.009614,0.849969,0.140417,0.009614,0.01302,0.026041,0.01302,casa,casa,casa,False,False,2.884615,3.052043,1.94591,2.410165,0.0
Algeria,Türkiye,0.587201,0.405313,0.007486,0.57595,0.403552,0.020498,0.57595,0.403552,0.020498,0.013012,0.026024,0.013012,casa,casa,casa,False,False,-1.884615,-0.124675,-0.182528,-0.463403,0.0
USA,Morocco,0.634306,0.354803,0.010891,0.622942,0.353163,0.023895,0.622942,0.353163,0.023895,0.013004,0.026009,0.013004,casa,casa,casa,False,False,-1.615385,-0.112478,0.408559,0.202597,0.0
Jordan,Australia,0.562636,0.419923,0.017441,0.55152,0.418053,0.030427,0.55152,0.418053,0.030427,0.012985,0.025971,0.012985,casa,casa,casa,False,False,-0.628205,-2.270858,-0.724563,-3.216587,0.0
Senegal,Paraguay,0.741631,0.253726,0.004643,0.749489,0.240793,0.009718,0.749489,0.240793,0.009718,0.012933,0.025865,0.012933,casa,casa,casa,False,False,3.230769,1.089929,0.45345,0.277094,0.0
Belgium,USA,0.748298,0.245988,0.005714,0.757226,0.233056,0.009718,0.757226,0.233056,0.009718,0.012932,0.025863,0.012932,casa,casa,casa,False,False,3.884615,0.349402,-0.128877,-0.292072,0.0
Türkiye,Congo DR,0.831228,0.165239,0.003533,0.838003,0.152309,0.009688,0.838003,0.152309,0.009688,0.01293,0.025859,0.01293,casa,casa,casa,False,False,5.076923,-0.406685,0.183764,0.044,0.0
Mexico,USA,0.721979,0.273772,0.004249,0.710885,0.271952,0.017163,0.710885,0.271952,0.017163,0.012915,0.02583,0.012915,casa,casa,casa,False,False,-1.192308,-0.711957,-0.27802,-0.405465,0.0
Saudi Arabia,Australia,0.546737,0.443095,0.010168,0.53508,0.441843,0.023077,0.53508,0.441843,0.023077,0.012908,0.025817,0.012908,casa,casa,casa,False,False,-0.038462,-2.184954,-2.393487,-3.070634,0.0
USA,Paraguay,0.701053,0.292333,0.006614,0.710797,0.279459,0.009744,0.710797,0.279459,0.009744,0.012874,0.025747,0.012874,casa,casa,casa,False,False,3.0,1.023839,0.95958,0.618357,0.0
Uzbekistan,Panama,0.674973,0.315619,0.009408,0.687503,0.30276,0.009737,0.687503,0.30276,0.009737,0.012859,0.025719,0.012859,casa,casa,casa,False,False,2.933333,0.288931,0.154791,-1.184466,0.0
Belgium,Colombia,0.603885,0.386244,0.009871,0.616742,0.373459,0.0098,0.616742,0.373459,0.0098,0.012857,0.025714,0.012857,casa,casa,casa,False,False,3.076923,0.532967,0.485382,-0.015086,0.0
Norway,Bosnia and Herzegovina,0.819314,0.176704,0.003981,0.826484,0.163862,0.009654,0.826484,0.163862,0.009654,0.012843,0.025685,0.012843,casa,casa,casa,False,False,3.807692,1.26283,0.228924,-0.137535,0.0
Korea Republic,Australia,0.702626,0.293093,0.004281,0.709986,0.280284,0.00973,0.709986,0.280284,0.00973,0.012808,0.025617,0.012808,casa,casa,casa,False,False,2.846154,0.75627,0.295019,-0.315166,0.0
Tunisia,Panama,0.624474,0.368906,0.00662,0.634094,0.356124,0.009782,0.634094,0.356124,0.009782,0.012782,0.025564,0.012782,casa,casa,casa,False,False,2.494872,1.086154,-0.113867,0.039755,0.0
Uzbekistan,Egypt,0.674473,0.309317,0.01621,0.66381,0.307214,0.028977,0.66381,0.307214,0.028977,0.012766,0.025532,0.012766,casa,casa,casa,False,False,-1.2,-1.235882,-0.261083,-1.248425,0.0
Norway,Canada,0.757577,0.235252,0.007171,0.767779,0.222497,0.009724,0.767779,0.222497,0.009724,0.012755,0.02551,0.012755,casa,casa,casa,False,False,3.846154,0.679321,0.212157,-0.039336,0.0
Ghana,Senegal,0.437237,0.537107,0.025656,0.425844,0.535763,0.038393,0.495341,0.46,0.044659,0.012737,0.025474,0.077107,empate,empate,casa,False,True,-1.846154,0.125505,0.206907,0.510153,0.0
USA,Bosnia and Herzegovina,0.807245,0.18971,0.003044,0.813344,0.176982,0.009675,0.813344,0.176982,0.009675,0.012729,0.025458,0.012729,casa,casa,casa,False,False,3.807692,1.064421,0.313611,0.380685,0.0
Senegal,Korea Republic,0.751502,0.243165,0.005333,0.759805,0.230475,0.00972,0.759805,0.230475,0.00972,0.012689,0.025379,0.012689,casa,casa,casa,False,False,3.230769,1.200748,-0.289145,-0.068208,0.0
Ecuador,IR Iran,0.801305,0.195033,0.003662,0.807957,0.182389,0.009654,0.807957,0.182389,0.009654,0.012644,0.025288,0.012644,casa,casa,casa,False,False,2.576923,2.24253,-0.380934,0.236136,0.0
Scotland,Norway,0.577957,0.41424,0.007804,0.566695,0.412905,0.0204,0.566695,0.412905,0.0204,0.012596,0.025193,0.012596,casa,casa,casa,False,False,-1.307692,-0.311159,-0.177148,0.492811,0.0
South Africa,Panama,0.527552,0.4644,0.008048,0.516069,0.463301,0.02063,0.519243,0.46,0.020757,0.012582,0.025163,0.012709,casa,casa,casa,False,False,-1.216667,-0.221359,-0.960607,-0.516248,0.0
Belgium,Argentina,0.517071,0.469096,0.013833,0.505944,0.467668,0.026388,0.513232,0.46,0.026768,0.012555,0.025111,0.012935,casa,casa,casa,False,False,-1.538462,-0.374328,0.330067,0.073001,0.0
Paraguay,Australia,0.68332,0.309158,0.007522,0.693631,0.296612,0.009756,0.693631,0.296612,0.009756,0.012546,0.025092,0.012546,casa,casa,casa,False,False,2.846154,0.867089,-0.447577,-0.660468,0.0
Japan,Paraguay,0.724878,0.270959,0.004164,0.731834,0.258445,0.009721,0.731834,0.258445,0.009721,0.012514,0.025027,0.012514,casa,casa,casa,False,False,2.923077,0.720157,0.85745,0.423048,0.0
Colombia,Canada,0.832946,0.164673,0.002381,0.838171,0.152161,0.009667,0.838171,0.152161,0.009667,0.012512,0.025025,0.012512,casa,casa,casa,False,False,4.653846,0.297347,-0.317415,0.201897,0.0
Congo DR,Egypt,0.568801,0.418399,0.0128,0.581297,0.408817,0.009886,0.581297,0.408817,0.009886,0.012496,0.024992,0.012496,casa,casa,casa,False,False,2.361538,1.341461,-0.227096,0.451491,0.0
Colombia,Bosnia and Herzegovina,0.865833,0.132221,0.001946,0.870642,0.119734,0.009624,0.870642,0.119734,0.009624,0.012487,0.024974,0.012487,casa,casa,casa,False,False,4.615385,0.880856,-0.300648,0.103698,0.0
Sweden,Czechia,0.674926,0.307445,0.017629,0.687386,0.302663,0.009952,0.687386,0.302663,0.009952,0.012459,0.024919,0.012459,casa,casa,casa,False,False,1.461538,1.123733,-0.275553,0.192372,0.0
Uruguay,Congo DR,0.88091,0.11678,0.00231,0.886017,0.104351,0.009631,0.886017,0.104351,0.009631,0.012429,0.024857,0.012429,casa,casa,casa,False,False,5.5,-0.185253,0.292928,-0.112692,0.0
Ecuador,Saudi Arabia,0.883717,0.113877,0.002406,0.888989,0.101455,0.009556,0.888989,0.101455,0.009556,0.012422,0.024844,0.012422,casa,casa,casa,False,False,2.653846,3.727455,2.300971,2.788663,0.0
Mexico,Japan,0.664173,0.33075,0.005078,0.653162,0.329354,0.017484,0.653162,0.329354,0.017484,0.012406,0.024813,0.012406,casa,casa,casa,False,False,-1.115385,-0.408274,-0.175891,-0.210156,0.0
