team,stage,runs,probability,lower_95,upper_95,margin_95
Netherlands,Quarter-finals,10000,0.1381,0.131338,0.144862,0.006762
Netherlands,Semi-finals,10000,0.0337,0.030163,0.037237,0.003537
Netherlands,Final,10000,0.0309,0.027508,0.034292,0.003392
Netherlands,Champion,10000,0.0134,0.011146,0.015654,0.002254
Japan,Group Stage,10000,1.0,1.0,1.0,0.0
Japan,Round of 32,10000,0.6968,0.687791,0.705809,0.009009
Japan,Round of 16,10000,0.1364,0.129673,0.143127,0.006727
Japan,Quarter-finals,10000,0.0513,0.046976,0.055624,0.004324
Japan,Semi-finals,10000,0.0248,0.021752,0.027848,0.003048
Japan,Final,10000,0.0218,0.018938,0.024662,0.002862
Japan,Champion,10000,0.0048,0.003445,0.006155,0.001355
Sweden,Group Stage,10000,1.0,1.0,1.0,0.0
Sweden,Round of 32,10000,0.4253,0.41561,0.43499,0.00969
Sweden,Round of 16,10000,0.0502,0.04592,0.05448,0.00428
Sweden,Quarter-finals,10000,0.0142,0.011881,0.016519,0.002319
Sweden,Semi-finals,10000,0.0048,0.003445,0.006155,0.001355
Sweden,Final,10000,0.0038,0.002594,0.005006,0.001206
Sweden,Champion,10000,0.0005,6.2e-05,0.000938,0.000438
Tunisia,Group Stage,10000,1.0,1.0,1.0,0.0
Tunisia,Round of 32,10000,0.6625,0.653232,0.671768,0.009268
Tunisia,Round of 16,10000,0.1739,0.166471,0.181329,0.007429
Tunisia,Quarter-finals,10000,0.0146,0.012249,0.016951,0.002351
Tunisia,Semi-finals,10000,0.0057,0.004224,0.007176,0.001476
Tunisia,Final,10000,0.0043,0.003018,0.005582,0.001282
Tunisia,Champion,10000,0.0007,0.000182,0.001218,0.000518
Belgium,Group Stage,10000,1.0,1.0,1.0,0.0
Belgium,Round of 32,10000,0.976,0.973,0.979,0.003
Belgium,Round of 16,10000,0.7238,0.715037,0.732563,0.008763
Belgium,Quarter-finals,10000,0.0845,0.079049,0.089951,0.005451
Belgium,Semi-finals,10000,0.0089,0.007059,0.010741,0.001841
Belgium,Final,10000,0.0008,0.000246,0.001354,0.000554
Belgium,Champion,10000,0.0006,0.00012,0.00108,0.00048
Egypt,Group Stage,10000,1.0,1.0,1.0,0.0
Egypt,Round of 32,10000,0.5212,0.511409,0.530991,0.009791
Egypt,Round of 16,10000,0.0604,0.055731,0.065069,0.004669
Egypt,Quarter-finals,10000,0.0066,0.005013,0.008187,0.001587
Egypt,Semi-finals,10000,0.0003,0.0,0.000639,0.000339
Egypt,Final,10000,0.0,0.0,0.0,0.0
Egypt,Champion,10000,0.0,0.0,0.0,0.0
IR Iran,Group Stage,10000,1.0,1.0,1.0,0.0
IR Iran,Round of 32,10000,0.5908,0.581163,0.600437,0.009637
IR Iran,Round of 16,10000,0.071,0.065966,0.076034,0.005034
IR Iran,Quarter-finals,10000,0.0083,0.006522,0.010078,0.001778
IR Iran,Semi-finals,10000,0.0012,0.000521,0.001879,0.000679
IR Iran,Final,10000,0.0,0.0,0.0,0.0
IR Iran,Champion,10000,0.0,0.0,0.0,0.0
