match_number,group,home_team,away_team,p_home_win_90,p_draw_90,p_away_win_90,p_xgb_home_win_90,p_xgb_draw_90,p_xgb_away_win_90,p_pre_draw_home_win_90,p_pre_draw_draw_90,p_pre_draw_away_win_90,p_poisson_home_win_90,p_poisson_draw_90,p_poisson_away_win_90,p_home_advances,p_away_advances,p_home_advances_if_draw,home_xg,away_xg,context_shift,home_rest_days,away_rest_days,home_travel_km,away_travel_km,neutral_order_symmetrized,squad_top26_diff,attack_strength_diff,midfield_strength_diff,defense_strength_diff,gk_strength_diff,market_value_log_diff,age_diff,tm_market_value_log_diff,tm_caps_diff,tm_recent_injury_days_diff,tm_injury_value_log_diff,tm_coverage_diff
12,F,Sweden,Tunisia,0.39572940319231764,0.2957600615638204,0.30851053524386196,0.39177393006941574,0.2875780953106,0.32064797461998423,0.39572940319231764,0.2957600615638204,0.30851053524386196,0.42572733730680323,0.2794789020733485,0.29479376061984836,0.5617320290727907,0.43826797092720926,0.5612746528477859,1.720982983880864,1.1121482055675869,0.0,5.0,5.0,0.0,0.0,True,8.192307692307693,10.0,4.75,6.5,-1.4090909090909065,1.8962021214572253,0.3846153846153868,1.7292546577443026,0.277580976465277,0.14680592383321844,1.8582109805849498,1.8448692945420033
13,H,Spain,Cabo Verde,0.8770607030669985,0.0799328968973367,0.04300640003566481,0.8846910247027229,0.08043919355904293,0.03486978173823417,0.8770607030669985,0.0799328968973367,0.043006400035664784,0.9272434384122075,0.05899043458538676,0.01376612700240584,0.9385686176099408,0.061431382390059186,0.7694943750373668,3.217965458566269,0.25665190274384564,0.0,5.0,5.0,0.0,0.0,True,16.807692307692307,14.875,16.625,15.125,8.75,3.169110810352766,0.1923076923076934,2.639266768823493,0.3168386567432364,-0.12413960141121816,2.307080623229524,3.36545694411572
14,G,Belgium,Egypt,0.5780682861688169,0.24418987394644354,0.17774183988473954,0.5863941740928779,0.23569357176930245,0.17791225413781972,0.5780682861688169,0.24418987394644354,0.17774183988473957,0.5723912672955912,0.2430359835998675,0.1845727491045413,0.7274950038492178,0.27250499615078216,0.6119283951683177,2.0265397910002503,0.8993168673176254,0.0,5.0,5.0,0.0,0.0,True,10.092307692307699,7.150000000000006,6.833333333333329,7.375,8.900000000000006,1.5674349846790179,-0.43076923076922924,1.4492574767583086,-0.017910926566530705,0.30652516025326015,2.7907916453795742,3.212519029525162
15,H,Saudi Arabia,Uruguay,0.09428364379289285,0.18872084417381543,0.7169955120332918,0.0921018150586432,0.18451875987069205,0.7233794250706648,0.09428364379289284,0.18872084417381543,0.7169955120332917,0.08790781376881307,0.1762796475831463,0.7358125386480406,0.1584604667215742,0.8415395332784258,0.3400621866102575,0.6792950322215858,2.311642209615333,0.0,5.0,5.0,0.0,0.0,True,-7.538461538461547,-5.875,-7.0,-8.75,-9.75,-1.7386214619057583,-1.3076923076923102,-4.1322353159392335,-2.860355861955899,-2.7687232361742034,-5.000233811193084,-3.4729215624606007
16,G,IR Iran,New Zealand,0.6477660092467996,0.20086627677720126,0.15136771397599913,0.6759788444338652,0.18112262473346757,0.14289853083266713,0.6477660092467996,0.20086627677720126,0.15136771397599916,0.6096457892629695,0.22703947186874598,0.16331473886828454,0.7698654238379334,0.23013457616206656,0.6078641798422204,2.0568075447211385,0.961554733926758,0.0,5.0,5.0,0.0,0.0,True,3.6538461538461604,5.708333333333329,1.1666666666666714,-0.375,6.625,-0.9435863077807554,2.73076923076923,-0.21426446434531599,0.2651274604781877,-0.2092006453451969,0.7947981844046019,-0.35417181372061446
17,I,France,Senegal,0.57296102886019,0.25190451181025414,0.17513445932955593,0.5757938110905211,0.24863957432510053,0.17556661458437836,0.57296102886019,0.25190451181025414,0.17513445932955593,0.6009996860404989,0.2344400302808185,0.16456028367868267,0.7291643119790945,0.2708356880209055,0.6200892631751029,2.0465247364340997,0.8403492145624346,0.0,5.0,5.0,0.0,0.0,True,7.807692307692307,8.125,7.5,9.0,7.75,1.5629178943714557,-0.3076923076923066,1.1347722687676232,0.4252773048281213,-0.0016820861829840439,0.8579063914987657,2.2773787615161973
18,I,Iraq,Norway,0.16587398863052497,0.214639170057635,0.6194868413118401,0.16747610392137974,0.21256760461004062,0.6199562914685797,0.16587398863052497,0.214639170057635,0.6194868413118401,0.1396104162499227,0.21488183124850907,0.6455077525015682,0.24167559964277008,0.7583244003572299,0.35315833075524294,0.7175476041375402,2.202921721690619,0.0,5.0,5.0,0.0,0.0,True,-11.379120879120876,-14.035714285714292,-12.625,-8.375,-3.2386363636363598,-3.219743853597283,-3.928571428571427,-3.0154499818753884,-0.9999020794343236,-0.46221060349363974,-2.7891826151659664,-2.393690641516339
19,J,Argentina,Algeria,0.7606646584012944,0.14708726260754462,0.09224807899116107,0.7618590706863861,0.1415853223440844,0.0965556069695295,0.7606646584012944,0.14708726260754462,0.09224807899116105,0.7415239220531261,0.17202185140058643,0.08645422654628748,0.8581730351894528,0.14182696481054724,0.6629287611961914,2.3858497809664225,0.7061740188621646,0.0,5.0,5.0,0.0,0.0,True,6.076923076923066,6.125,4.625,6.5,0.875,1.1524067679035852,1.1538461538461569,1.013485214223543,-0.12211875009784556,0.20143595281726956,1.106864987414312,1.4268514198855158
20,J,Austria,Jordan,0.5065144996410809,0.27768542934112217,0.21580007101779697,0.5034584441579298,0.27299920741465716,0.22354234842741297,0.5065144996410809,0.27768542934112217,0.2158000710177969,0.5404068929475375,0.2550449314849946,0.20454817556746796,0.6729623410442471,0.3270376589557529,0.5994115060271805,1.8886491352137378,0.9017337606814799,0.0,5.0,5.0,0.0,0.0,True,6.512820512820511,7.125,4.375,3.875,1.1666666666666714,3.2984487357570274,2.666666666666668,3.585731199531935,1.2079163859573079,2.651227865235513,3.535842182173486,3.8679061150110385
21,K,Portugal,Congo DR,0.7514707196957191,0.15926214991611198,0.08926713038816891,0.7489825133310071,0.15669587137776708,0.09432161529122579,0.7514707196957191,0.15926214991611198,0.08926713038816889,0.7572652826078415,0.1641898478752951,0.07854486951686343,0.8589780719395456,0.14102192806045444,0.6750339129570565,2.432668878890081,0.6291133457366791,0.0,5.0,5.0,0.0,0.0,True,9.807692307692307,6.375,11.125,8.375,9.625,1.9225715397379162,0.5769230769230766,0.5778001989878341,0.5560734533775848,-0.4152009290982459,0.17316567674214767,1.5177201731800611
