team,opponent,p_team_win_90,p_draw_90,p_team_advances,p_team_advances_if_draw,team_xg,opponent_xg,form_weight,p90_win_order_delta,p90_draw_order_delta,p90_loss_order_delta,advance_order_delta,advance_if_draw_complement_delta,home_xg_order_delta,away_xg_order_delta,forward_probability_sum_error,reverse_probability_sum_error,forward_penalty_neutrality_error,reverse_penalty_neutrality_error
Spain,Congo DR,0.823417363501388,0.12949295979679534,0.9132737828272761,0.6939096879621394,2.334764366259949,0.39251280373205366,0.4886201520770458,1.1102230246251565e-16,2.7755575615628914e-17,4.85722573273506e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain,Croatia,0.5943196869291575,0.25863048345345285,0.7572138202348406,0.6298334640626384,1.9523096678455036,0.6785679212676164,0.4933126722532274,0.0,5.551115123125783e-17,8.326672684688674e-17,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain,Côte d'Ivoire,0.7407605858428311,0.1583500496726923,0.8470939294602087,0.6715081165883267,2.215810667508686,0.506519488436669,0.4962681367558466,1.1102230246251565e-16,2.7755575615628914e-17,5.551115123125783e-17,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0
Spain,Ecuador,0.603808145641809,0.2560656454109077,0.7691242645762283,0.6456005399284901,1.863255845938327,0.4734083167407815,0.4938817015815028,1.1102230246251565e-16,0.0,5.551115123125783e-17,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain,Egypt,0.7590584555239712,0.15084667930944723,0.8620916501919821,0.6830325675028506,2.352765960773922,0.5009037738161086,0.5247616599338015,1.1102230246251565e-16,0.0,5.551115123125783e-17,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain,England,0.4693324450062354,0.2951024258406769,0.6366025228207285,0.5668204093476368,1.6946866258557214,1.0369367300864893,0.5763941176389525,5.551115123125783e-17,5.551115123125783e-17,2.7755575615628914e-17,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain,France,0.44092814545204423,0.2970130101574163,0.6036989821618922,0.5480259488417014,1.5317328054172148,1.0656430193905286,0.5701089873747572,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain,Germany,0.6254456510159142,0.2548262965392189,0.779335660313478,0.6039016042988302,1.8874468575048555,0.8597485893798993,0.4900578721097542,0.0,0.0,1.3877787807814457e-17,1.1102230246251565e-16,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0
Spain,Ghana,0.8595111624395297,0.08344643934669581,0.9170749414575038,0.6898290624338469,2.200297985532799,0.33640468834651055,0.4906033394749233,0.0,1.3877787807814457e-17,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain,Japan,0.646395274597419,0.23844266055945812,0.7963452984821431,0.6288724657445789,1.982864632562902,0.7108860311227395,0.49657257717066594,0.0,0.0,2.7755575615628914e-17,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain,Mexico,0.7287989536979013,0.17635277753472664,0.8399404171906139,0.6302223591053286,1.8719215167198626,0.6127645588116782,0.52268693722973,1.1102230246251565e-16,2.7755575615628914e-17,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0
Spain,Morocco,0.6951500089963755,0.19349040299168507,0.8171991575335098,0.6307762382529081,1.899594954458787,0.6293613082798893,0.5449299732057086,0.0,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain,Netherlands,0.5403349046924965,0.2900827048268796,0.7103322632551251,0.5860306586153852,1.7478753410568924,0.9061115895782409,0.4907049412604828,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain,Norway,0.6766371900394689,0.22540389196070235,0.81949618819824,0.6337911777658107,1.969507260707962,0.6568076895878707,0.5418434380611414,1.1102230246251565e-16,2.7755575615628914e-17,4.163336342344337e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain,Paraguay,0.7472620265375367,0.17113966758999338,0.8608330897344341,0.6636162427812143,1.991550603784559,0.4141050875116609,0.5153259530502726,0.0,2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain,Portugal,0.5363578804778103,0.2849473464833861,0.7018971733413613,0.5809469535565678,1.6076519350728957,0.8325681953850685,0.5191139133692488,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0
Spain,Senegal,0.712316002013625,0.18565827226163445,0.8344460043307598,0.657821495532534,2.257746083628765,0.6589316164163141,0.4922510159820428,0.0,2.7755575615628914e-17,5.551115123125783e-17,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0
Spain,South Africa,0.8629039052737573,0.08082626877688825,0.9214936300811919,0.7248846902628271,2.4630537370545884,0.20693011380488321,0.4831419487793933,0.0,0.0,4.85722573273506e-17,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0
Spain,Sweden,0.7940073288033188,0.15175400457189228,0.8971996022144015,0.6799970366659823,2.4221543633796077,0.5766228397831238,0.49222151247079626,1.1102230246251565e-16,0.0,2.0816681711721685e-17,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain,Switzerland,0.675220811982005,0.22693584555037616,0.8160163235146215,0.6204198864712278,1.7030148297592314,0.5654470955503917,0.5393539363006643,0.0,2.7755575615628914e-17,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain,USA,0.7682427215895129,0.15087002596401985,0.8706038397288123,0.678472198074062,2.378896857529723,0.5599850334443347,0.5175519487738675,1.1102230246251565e-16,2.7755575615628914e-17,4.163336342344337e-17,2.220446049250313e-16,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0
